"id","spp","plot","subplot","doy","Vcmax","Jmax","Rd","TPU","leaf_length_cm","stem_length_cm"
"2639","Mai","6","21","128","63.4639318709174","107.887198171867","3.72669731687224","7.24823937701183","15.4","33.4"
"2799","Mai","6","14","128","67.8402218767462","107.981258576011","3.11694768177987","7.54303225869795","19.1","58"
"5714","Tri","6","8","128","81.8047187864414","132.556437029166","3.54561434471475",NA,"16.7",NA
"5596","Mai","6","8","128","95.3644907789465","141.022370486562","4.50390205869947","9.04873373758321","20.8","68"
"5852","Tri","6","15","128","77.6480213323466","141.223741393682","3.5756007518624",NA,"16.1",NA
"5607","Mai","6","9","128","86.993579795136","120.827279739781","4.57385111410302","7.86674103292266","14.1","37.9"
"5664","Mai","6","9","128","108.206233699531","143.353787616482","5.7688177763319","9.25920064925993","16.6","49"
"5122","Mai","6","2","128","83.4763863434083","116.317860298614","4.65873802974753","7.18781285472922","16.7","47.9"
"2770","Tri","6","9","128","88.2674584905329","141.672930680407","4.57972854830774",NA,"14.1",NA
"TT24_205","Mai","6","34","128","42.4197413022833","77.0139304094548","2.28630824522473","5.56841495922355","17.5","49.5"
"TT24_206","Mai","6","22","128","46.3833263279397","83.4809614288286","3.16221244031166","5.64460123728823","13","49.5"
"3175","Mai","6","22","128","55.1764078817512","95.8766626374829","2.9587156843697","6.21732687914689","14.4","29.8"
"5567","Mai","6","22","128","94.5255936036821","139.198560615808","4.27697910183709","8.62282789495578","18.8","53.8"
"6463","Mai","6",NA,"128","65.3256352669465","111.368757175905","3.11616969597569","7.13807074085981","12.1","24.4"
"4511","Tri","6","16","128","51.3769415469425","99.3956687621986","3.27069376407819",NA,"16.1",NA
"6463","Mai","6","11","128","98.0090141429154","155.326480841259","3.96278021258982","9.43654971143765","17","53.2"
"3438","Mai","6","11","128","94.4553412600887","154.181337366498","4.5716474162782","9.66619376305144","19.2","61.1"
"5025","Mai","6","11","128","91.2349736920698","139.27433936427","3.68970514654762","8.67374119042409","19.3","63.6"
"5569","Mai","6","11","128","91.2349736920698","139.27433936427","3.68970514654762","8.67374119042409","13.7","25.6"
"4582","Tri","6","11","128","85.6117770777965","143.156461372679","4.97030974304525",NA,"11.6",NA
"2980","Tri","6","11","128","128.174389556945","184.505705422014","6.6896348282805",NA,"12.2",NA
"3371","Tri","6","11","128","105.839070998164","161.788953199477","4.5904735553449",NA,"14.4",NA
"3379","Tri","6","11","128","104.844701412696","147.817587003909","5.50844087706497",NA,"10.8",NA
"4505","Tri","6","11","128","92.6573522808143","149.764252624358","5.52876729976541",NA,"15.5",NA
"4745","Tri","6","12","128","100.451366388862","141.952084836343","6.30350296213798",NA,"15.2",NA
"4000","Tri","5","20","129","45.9040050504338","86.9024808298509","2.20916536787753",NA,NA,NA
"7120","Tri","5","17","134","18.4608849232207","49.4033971121361","1.64410336601673",NA,"14",NA
"2803","Mai","5","18","134","45.1167594684392","88.3010529821193","4.01334082433902","5.93074651679797","17.1","51.9"
"1499","Mai","5","17","134","43.35210778224","80.2010547227603","2.60488275392566","5.40975363853616","19.2","70.4"
"1432","Mai","5","17","134","57.0968164938332","98.5545031407178","3.34262455404246","6.25750863132257","19.9","80.4"
"2912","Tri","5","11","134","35.0404016883542","76.4654878098259","1.86766463464634",NA,"15.7",NA
"614","Tri","5","11","134","27.8111138942241","63.6891461332267","1.592169758909",NA,"14.6",NA
"6881","Tri","5","10","134","44.737454162556","82.1816894797377","2.43648806412683",NA,"15.3",NA
"1374","Tri","5","10","134","37.9289011854005","75.9267631707382","2.04339364221044",NA,"14.3",NA
"1826","Tri","5","10","134","38.0497687271012","74.7992938687174","2.27057331139993",NA,"18.6",NA
"4105","Tri","5","10","134","47.4014489428811","77.0753144632224","2.33782625899694",NA,"13.2",NA
"5381","Tri","5","10","134","41.3634595135257","69.2253571203918","1.76814030847581",NA,"16.1",NA
"4574","Tri","5","10","134","45.8093162206508","74.8718957912607","2.52683775988471",NA,"14.6",NA
"flag8","Tri","5","16","134","46.7584771844253","75.0882769841201","3.12497190638643",NA,"11.5",NA
"2563","Tri","5","16","134","28.8056784582517","54.6159989966809","3.38635241268404",NA,"19.3",NA
"4177","Tri","5","14","134","29.4435334332254","68.6341022563925","2.10029780880718",NA,"16.6",NA
"flag3_tri","Tri","5","14","134","33.9275088172698","70.3615232370112","3.38707346267771",NA,"15.2",NA
"flag1_tri","Tri","5","14","134","22.7853412142846","49.3181123875376","1.25649119135113",NA,"12",NA
"flag2_tri","Tri","5","14","134","48.8619625786689","86.2024711191568","2.11108024967879",NA,"16.8",NA
"4149","Tri","5","13","134","63.1342147031166","107.001706900993","3.71757418364613",NA,"17.2",NA
"1795","Tri","5","14","134","36.6625541951136","77.5213797196768","2.43173174093513",NA,"11.6",NA
"6887","Tri","5","8","134","66.1407826172333","117.043666007416","5.68962032285099",NA,"14.6",NA
"flag2_mai","Mai","5","3","134","60.1426519291977","98.0563153778366","3.21556057408305","6.18524421864178","12.5","28.1"
"631","Mai","5","3","134","67.7084824589085","110.543519043389","3.59162340196605","6.78646785120786","17","59"
"3960","Mai","5","3","134","68.9952756735174","108.133219083155","3.92409148148736","6.64547295149042","16.1","52"
"3993","Mai","5","3","134","60.182018592999","88.2503791831746","2.1453906139868","6.0166817528774","15.2","45.1"
"86","Tri","5","9","134","81.1856654916344","101.204279315833","7.83396916971664",NA,"14.1",NA
"7147","Tri","5","9","134","63.8788593186639","105.479201774514","2.09603295392317",NA,"14.6",NA
"43","Tri","5","9","134","60.1280274847449","94.9659014649578","2.74411142626513",NA,"14.8",NA
"2941","Tri","6","6","135","24.3099045853824","58.7244293646296","0.709445646014495",NA,"14.8",NA
"5722","Tri","6","6","135","27.3208688513918","57.725339879328","0.884811742374837",NA,"12.5",NA
"4722","Mai","6","8","135","39.6597987706253","74.2563484805594","2.68828267067982","4.80312403737817",NA,NA
"1495","Mai","6","8","135","44.2767831860163","76.1312156335149","2.26028674756352","5.03131400952761",NA,NA
"5009","Mai","6","8","135","44.9589505777064","76.0445005741154","2.42710603739482","5.15181458192241",NA,NA
"1146","Mai","6","8","135","45.6774133585559","81.2455352138699","3.6865873011592","5.45690637981433",NA,NA
